University,SalariesAndBenefits,Supplies,ScholarshipsAndBursaries,CostOfGoodsAndUtilities,ProfessionalFees,TravelAndInterest,TotalExpenses
UBC,1778000000,254000000,116000000,91000000,67000000,45000000,2351000000
SFU,323737000,65122000,32441000,12468000,35050000,8900000,477718000
